surface,data,sensor,time
4,25,2,1616.00
4,25,3,1612.00
4,25,4,1616.00
4,25,5,1628.00
4,26,1,1608.00
4,26,2,1628.00
4,26,3,1616.00
4,26,4,1616.00
4,26,5,1632.00
4,27,1,1608.00
4,27,2,1628.00
4,27,3,1616.00
4,27,4,1632.00
4,27,5,1616.00
4,28,1,1608.00
4,28,2,1628.00
4,28,3,1620.00
4,28,4,1608.00
4,28,5,1616.00
4,29,1,1640.00
4,29,2,1628.00
4,29,3,1616.00
4,29,4,1612.00
4,29,5,1628.00
4,30,1,1608.00
4,30,2,1628.00
4,30,3,1616.00
4,30,4,1616.00
4,30,5,1628.00
4,31,1,1608.00
4,31,2,1616.00
4,31,3,1632.00
4,31,4,1616.00
4,31,5,1612.00
4,32,1,1604.00
4,32,2,1632.00
4,32,3,1616.00
4,32,4,1632.00
4,32,5,1616.00
4,33,1,1608.00
4,33,2,1644.00
4,33,3,1612.00
4,33,4,1632.00
4,33,5,1612.00
4,34,1,1608.00
4,34,2,1628.00
4,34,3,1616.00
4,34,4,1612.00
4,34,5,1628.00
4,35,1,1620.00
4,35,2,1620.00
4,35,3,1612.00
4,35,4,1628.00
4,35,5,1616.00
4,36,1,1640.00
4,36,2,1632.00
4,36,3,1620.00
4,36,4,1628.00
4,36,5,1616.00
4,37,1,1608.00
4,37,2,1612.00
4,37,3,1632.00
4,37,4,1616.00
4,37,5,1628.00
4,38,1,1608.00
4,38,2,1628.00
4,38,3,1612.00
4,38,4,1616.00
4,38,5,1628.00
4,39,1,1604.00
4,39,2,1628.00
4,39,3,1612.00
4,39,4,1616.00
4,39,5,1628.00
4,40,1,1608.00
4,40,2,1612.00
4,40,3,1616.00
4,40,4,1632.00
4,40,5,1616.00
4,41,1,1612.00
4,41,2,1616.00
4,41,3,1612.00
4,41,4,1632.00
4,41,5,1616.00
4,42,1,1608.00
4,42,2,1628.00
4,42,3,1616.00
4,42,4,1616.00
4,42,5,1628.00
4,43,1,1608.00
4,43,2,1632.00
4,43,3,1612.00
4,43,4,1628.00
4,43,5,1620.00
4,44,1,1612.00
4,44,2,1616.00
4,44,3,1616.00
4,44,4,1660.00
4,44,5,1616.00
4,45,1,1608.00
4,45,2,1628.00
4,45,3,1620.00
4,45,4,1616.00
4,45,5,1632.00
4,46,1,1604.00
4,46,2,1616.00
4,46,3,1632.00
4,46,4,1620.00
4,46,5,1612.00
4,47,1,1604.00
4,47,2,1620.00
4,47,3,1628.00
4,47,4,1612.00
4,47,5,1628.00
4,48,1,1612.00
4,48,2,1632.00
4,48,3,1612.00
4,48,4,1628.00
